선택지ID,이벤트ID,선택지문구,선택지톤,결과요약,혈액재고변화,혈액수요변화,가문자금변화,인간신뢰변화,언론노출변화,보안등급변화,가문만족도변화,조직불안변화,암거래단서변화,인물반응,관계변화,후속이벤트ID,엔딩플래그,비고
CHO-D01-001-A,EVT-D01-001,표면 보고를 기준으로 정석 운영한다,정석,공식 절차는 안정되지만 가문 쪽 불만이 남는다,0,0,0,3,0,0,-5,0,0,엘리엇 압박 증가,엘리엇:압박,,HUMAN_TRUST,초보자용 안정 선택
CHO-D01-001-B,EVT-D01-001,봉인 보고를 우선해 가문 수요를 맞춘다,가문 우선,가문은 만족하지만 핵심 재고가 줄어든다,-8,-3,0,-1,1,0,6,0,0,엘리엇 만족,엘리엇:협력,,FAMILY_DOMINANT,가문 우선 루트 씨앗
CHO-D01-001-C,EVT-D01-001,두 보고서의 차이를 조용히 보정한다,은폐/중용,단기 균형은 맞추지만 보안 부담이 생긴다,-3,-2,0,1,1,-5,2,1,2,서윤재 내적 갈등,서윤재:의심,,SUPPLY_STABLE,중용 루트 씨앗
CHO-D02-001-A,EVT-D02-001,공식 캠페인을 강화한다,정석,공식 공급 기반을 넓히지만 외부 관심이 늘어난다,5,0,-3,4,3,0,-2,0,0,정하린 관심 증가,정하린:의심,,HUMAN_TRUST,신뢰 상승 대가로 노출 증가
CHO-D02-001-B,EVT-D02-001,야간 처리를 지시한다,은폐,재고는 회복되지만 내부 피로가 쌓인다,10,-2,0,-1,1,-3,3,6,0,김도현 부담 증가,김도현:의심,,SUPPLY_STABLE,김도현 불안 누적
CHO-D02-001-C,EVT-D02-001,가문 수요 일부를 지연시킨다,지연,재고는 보존되지만 가문 불만이 커진다,2,5,0,0,0,0,-8,1,0,엘리엇 경고,엘리엇:압박,,SUPPLY_COLLAPSE,반복 시 공급 붕괴 위험
CHO-D03-001-A,EVT-D03-001,기자에게 공개 설명을 제공한다,인간 우선,신뢰는 유지되지만 민감 정보가 흔들린다,0,0,0,3,3,-4,-2,0,1,정하린 추적 지속,정하린:의심,,HUMAN_TRUST,정보 공개형 선택
CHO-D03-001-B,EVT-D03-001,기자를 회유한다,은폐,언론 노출은 낮추지만 자금과 신뢰를 소모한다,0,0,-8,-2,-4,0,1,1,0,정하린 반감,정하린:적대,,EXPOSED_MEDIA,단기 은폐
CHO-D03-001-C,EVT-D03-001,내부 기록을 정정한다,은폐/중용,자료상 위험은 낮아지지만 보안 부담이 생긴다,0,0,0,0,-2,-6,0,2,2,김도현 협조,김도현:협력,,SUPPLY_STABLE,장기 리스크
CHO-D04-001-A,EVT-D04-001,운송 기록을 전면 조사한다,정석,단서는 늘지만 내부 불안이 커진다,0,0,-2,0,1,2,0,7,10,박세연 긴장,박세연:의심,,BLACK_MARKET_DOMINANT,암거래 추적 시작
CHO-D04-001-B,EVT-D04-001,조용히 일부 물량을 회수한다,중용,재고 일부를 회복하고 단서를 얻지만 보안 등급을 소모한다,6,0,-4,0,1,-5,0,3,8,박세연 협력,박세연:협력,,SUPPLY_STABLE,중용형 대응
CHO-D04-001-C,EVT-D04-001,보고서상 오차로 처리한다,은폐,당장은 조용하지만 암거래망이 커진다,0,0,0,0,-1,-2,0,4,4,서윤재 불안,서윤재:의심,,BLACK_MARKET_DOMINANT,방치 루트
