선택지ID,이벤트ID,선택지문구,선택지톤,결과요약,혈액재고변화,혈액수요변화,가문자금변화,인간신뢰변화,언론노출변화,보안등급변화,가문만족도변화,조직불안변화,암거래단서변화,인물반응,관계변화,후속이벤트ID,엔딩플래그,비고
CHO-D05-001-A,EVT-D05-001,원로의 요구를 전부 수용한다,가문 우선,가문은 만족하지만 재고가 크게 줄어든다,-15,-6,0,-2,2,0,10,2,0,엘리엇 만족,엘리엇:협력,,FAMILY_DOMINANT,가문 우선 강화
CHO-D05-001-B,EVT-D05-001,요구량을 일부 협상한다,중용,가문 불만은 남지만 재고 붕괴를 막는다,-6,2,0,0,0,0,-3,1,0,엘리엇 관망,엘리엇:의심,,SUPPLY_STABLE,중용 핵심 선택
CHO-D05-001-C,EVT-D05-001,대체 경로를 탐색한다,위험 거래,부족분 해결 가능성이 생기지만 외부 위험이 커진다,5,-3,-5,-1,3,-3,2,3,12,박세연 접촉 증가,박세연:잠복,,BLACK_MARKET_DOMINANT,위험 거래 루트
CHO-D06-001-A,EVT-D06-001,암거래망을 조용히 회수한다,중용,통제력은 오르지만 보안 부담이 커진다,6,0,-6,0,2,-8,2,4,-10,박세연 협력 지속,박세연:협력,,SUPPLY_STABLE,통제형 대응
CHO-D06-001-B,EVT-D06-001,암거래망을 이용한다,위험 거래,재고는 회복되지만 통제권 상실 위험이 커진다,12,-5,0,-3,5,-5,5,6,15,서윤재 불안 증가,서윤재:의심,,BLACK_MARKET_DOMINANT,고위험 선택
CHO-D06-001-C,EVT-D06-001,내부자를 색출한다,정석/압박,내부 통제는 강화되지만 조직 불안이 급증한다,0,0,-4,0,2,3,0,12,5,김도현과 박세연 긴장,김도현:의심;박세연:의심,,INTERNAL_COLLAPSE,조직 불안 루트
CHO-D06-001-D,EVT-D06-001,기자에게 일부 단서를 흘린다,인간 우선/위험 거래,암거래망을 압박하지만 노출 위험도 커진다,0,0,0,2,10,-6,-4,2,-8,정하린 조건부 협력,정하린:협력,,EXPOSED_MEDIA,언론 협력 루트
CHO-D07-001-A,EVT-D07-001,균형 중심으로 최종 보고한다,중용,큰 보상은 없지만 안정 운영 평가를 노린다,0,0,0,2,-2,2,1,-2,-2,서윤재 안정,서윤재:신뢰,,SUPPLY_STABLE,안정 운영 엔딩 후보
CHO-D07-001-B,EVT-D07-001,가문 성과를 강조해 보고한다,가문 우선,가문 평가는 좋아지지만 인간 사회 쪽 위험이 커진다,0,-2,0,-4,4,-2,8,1,0,엘리엇 인정,엘리엇:협력,,FAMILY_DOMINANT,가문 우선 엔딩 후보
CHO-D07-001-C,EVT-D07-001,인간 사회의 안정성을 강조한다,인간 우선,공익적 신뢰는 유지되지만 가문 불만이 남는다,0,2,0,6,-2,1,-6,0,0,정하린 관심 완화,정하린:협력,,HUMAN_TRUST,인간 사회 우선 엔딩 후보
CHO-D07-001-D,EVT-D07-001,책임을 외부 암거래망으로 돌린다,은폐/위험 거래,일부 위험은 회피하지만 후속 정치 리스크가 남는다,0,0,-3,1,3,-4,1,3,-12,박세연 위험 증가,박세연:잠복,,BLACK_MARKET_DOMINANT,암거래 잠식 엔딩 방지 또는 변형
